agent,episode,num_nodes,num_services,episodes,seed,reward,placed_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,0,5,8,50,222,-110.73800625698141,0.875,1,5,0.5220825,0.5865875,0.6954499999999999,0.9928750000000001,0.14407076637888758,0.2111382230909411,1,22.389900883505778,3.7884773068537694,2,33.08990088350578,5.598968000593194
Random,1,5,8,50,222,-87.47379657016256,0.625,3,3,0.521555,0.39830124999999994,0.89985,0.6957249999999999,0.30553369061365393,0.1790669363499303,2,10.743912263983635,1.4860182937736701,8,61.443912263983634,8.498466426553753
Random,2,5,8,50,222,-48.795445180385315,0.75,2,4,0.40399250000000003,0.54010375,0.641275,0.860975,0.16162815727774663,0.16534333056552358,1,25.145442345157097,4.04918556282723,2,42.0454423451571,6.7706026320703865
Random,3,5,8,50,222,-61.974075645976924,0.625,3,3,0.4105525,0.45001375,0.81635,0.717425,0.23853977110746125,0.23262338528456247,1,10.375740797141166,1.8013438883925632,4,41.77574079714117,7.252732777281452
Random,4,5,8,50,222,-231.26533586921101,0.5,4,3,0.45244,0.51783625,0.9490999999999999,0.9896375,0.2898242582152156,0.31863028095859,2,8.948884265960364,1.5923281612029119,5,47.24888426596036,8.407274780419993
Random,5,5,8,50,222,-179.20870696107335,0.875,1,5,0.6359774999999999,0.50205,0.99435,0.6968625,0.30670038539264993,0.19804408394976103,2,31.016178353432732,5.076297602853148,1,38.31617835343273,6.2710602869775345
Random,6,5,8,50,222,-29.570935101449635,0.875,1,3,0.47078500000000006,0.4753312500000001,0.746825,0.7622625,0.2444191525842441,0.2641007699487073,0,19.459412109519597,3.237838953331048,1,27.0594121095196,4.5023980215506825
Random,7,5,8,50,222,-85.35243404102526,0.625,3,3,0.4803675,0.50124875,0.7905,0.9008,0.2658205728964559,0.1999737740773775,1,5.23041791662587,0.9257376843585612,6,54.130417916625866,9.580604940995729
Random,8,5,8,50,222,-101.20061836186386,0.375,5,2,0.2036025,0.42220125,0.3673875,0.8057,0.1099339808703387,0.3049159069624771,1,5.805119803353905,0.9485489874761281,9,59.50511980335391,9.723058791397698
Random,9,5,8,50,222,-157.8396555001421,0.75,2,4,0.45583,0.610995,0.88455,0.9728749999999999,0.2785126901956174,0.2778990851685194,3,23.256212809103936,3.876035468183989,4,48.35621280910394,8.059368801517321
Random,10,5,8,50,222,-58.29647808030001,0.75,2,4,0.5488500000000001,0.39458624999999997,0.8804000000000001,0.7074374999999999,0.24000582440849225,0.18104485832246103,1,22.393151146378596,3.3125963234287865,6,58.5931511463786,8.667625909227604
Random,11,5,8,50,222,-42.72932892880152,0.75,2,3,0.31486499999999995,0.42670874999999997,0.66325,0.7436,0.23128948614236663,0.2016619469247979,0,13.526953210196833,2.0129394658031,5,50.22695321019684,7.474248989612624
Random,12,5,8,50,222,-61.571915557577974,0.625,3,3,0.4478725,0.39980625,0.760375,0.66465,0.26269123967121555,0.22169024166615903,0,10.317009241916583,1.5896778492937724,7,59.51700924191658,9.17057153188237
Random,13,5,8,50,222,-46.93500658978208,0.75,2,5,0.4732975,0.40814249999999996,0.7075,0.8552375,0.16691331852192023,0.254675276406054,1,29.893524723428545,4.715066991077057,4,54.99352472342855,8.674057527354659
Random,14,5,8,50,222,-90.74737378709992,0.625,3,4,0.519225,0.35332624999999995,0.91005,0.6952875,0.24846592925389188,0.19396743003014705,1,18.57815591595641,2.756402954889675,7,63.87815591595641,9.477471204147836
Random,15,5,8,50,222,3.3674595957292075,1.0,0,5,0.63775,0.41969124999999996,0.7897500000000001,0.62535,0.12741589677116433,0.15676227222692965,0,31.62632482933873,5.262283665447375,0,31.62632482933873,5.262283665447375
Random,16,5,8,50,222,-36.129911279269756,0.75,2,5,0.6003475,0.5795775,0.719175,0.7757750000000001,0.11199492577791192,0.16155427849487616,0,15.22473867169456,2.371454621759277,5,49.924738671694556,7.776439045435288
Random,17,5,8,50,222,-149.6277504714992,0.75,2,5,0.60621,0.36439875,0.99805,0.7717125,0.2720227759765715,0.20614552969322428,2,16.688782893061155,2.786107327723064,5,46.08878289306115,7.694287628223898
Random,18,5,8,50,222,-3.69416182150594,1.0,0,5,0.5757424999999999,0.49656124999999995,0.7666499999999999,0.8229500000000001,0.1608886788279399,0.21352823563290174,1,30.25106809795922,4.5904503942275,0,30.25106809795922,4.5904503942275
Random,19,5,8,50,222,-67.27345987977462,0.75,2,4,0.48184000000000005,0.43098125000000004,0.8997249999999999,0.6985250000000001,0.25165392238151185,0.20906543809594644,1,21.20674104778915,2.905033020245089,6,56.90674104778915,7.795443979149199
Random,20,5,8,50,222,-64.9376446688979,0.75,2,5,0.47358500000000003,0.48517874999999994,0.558725,0.9031,0.06946470074793383,0.22371748917440498,1,31.755355901993113,4.485219760168518,3,46.455355901993116,6.561490946609196
Random,21,5,8,50,222,-96.88365439171876,0.5,4,3,0.40156749999999997,0.44772125,0.6760875000000001,0.87245,0.23115454835455868,0.2644415272560268,1,15.004694102828001,2.7084285384166065,5,53.40469410282799,9.639836480654871
Random,22,5,8,50,222,-30.26121533669731,1.0,0,5,0.4315175,0.5343275,0.7004999999999999,0.90675,0.18929828109362215,0.2302316062685573,1,32.02343107373283,5.165069528021424,0,32.02343107373283,5.165069528021424
Random,23,5,8,50,222,-59.4151750652997,0.75,2,4,0.41278750000000003,0.52012875,0.7978000000000001,0.8734999999999999,0.25291926182084273,0.2609966691478073,1,14.941448154203337,2.58950574596245,3,37.14144815420333,6.436992747695551
Random,24,5,8,50,222,-128.00445472576325,0.875,1,4,0.6340225,0.28097625000000004,0.9612499999999999,0.40015,0.34930537807196727,0.10100813027301317,3,29.5514423192511,4.876475630239456,2,38.0514423192511,6.279115894265859
Random,25,5,8,50,222,-90.05981459199096,0.875,1,4,0.41202000000000005,0.61213625,0.5497,0.9607749999999999,0.14746746963313637,0.3145419726662087,3,23.469895710120195,3.5506650090953396,3,43.56989571012019,6.591512210305626
Random,26,5,8,50,222,-99.64711527069471,0.625,3,3,0.471805,0.37168624999999994,0.92555,0.6747375,0.2815123995492916,0.20492476151321973,1,20.424259631417115,3.1325551581928095,7,58.324259631417114,8.945438593775632
Random,27,5,8,50,222,-134.40539150556748,0.5,4,2,0.4408475,0.41674875,0.9416,0.6831875,0.2862200050223604,0.261198335633097,1,0.0,0.0,9,56.99999999999999,8.610271903323262
Random,28,5,8,50,222,-116.75084307557559,0.75,2,3,0.5442425,0.36756375,0.9659,0.6880625,0.2982919150764901,0.26137338433264395,1,8.271390867026799,1.323422538724288,3,31.671390867026798,5.067422538724288
Random,29,5,8,50,222,-195.39382360033412,0.75,2,4,0.5587375,0.5935024999999999,0.9496,0.9975,0.22531913728087988,0.23011699366843816,2,20.217924927613964,3.1492094902825487,6,54.91792492761396,8.55419391395856
Random,30,5,8,50,222,-101.56797308931225,0.5,4,2,0.3984625,0.394825,0.8756625,0.711625,0.2727951110723944,0.20430818556166563,1,2.462323194391087,0.3589392411648815,9,63.462323194391075,9.251067521048263
Random,31,5,8,50,222,-109.29463458185165,0.875,1,4,0.6342800000000001,0.54655625,0.9555,0.8072,0.2459951576759185,0.20498948151368646,2,25.22043471373064,3.9592519173831455,2,40.12043471373064,6.29834139932977
Random,32,5,8,50,222,-39.598263343048046,0.75,2,5,0.522265,0.58506875,0.7997,0.75990625,0.2176025238824219,0.09642042736111471,0,18.916342476820514,3.5030263845963914,4,44.31634247682051,8.206730088300093
Random,33,5,8,50,222,-109.91617979161138,0.75,2,4,0.5101825,0.61806125,0.6267,0.967275,0.06742070601825526,0.2538097041338254,1,12.586034862054326,2.00095943752851,4,45.486034862054325,7.231484079817857
Random,34,5,8,50,222,-153.54249715376366,0.75,2,4,0.5453725,0.57552625,0.9982,0.8689875,0.29138528493216675,0.25250172915249514,2,15.179639924172358,2.4094666546305326,7,54.97963992417235,8.726926972090848
Random,35,5,8,50,222,-103.92361892481395,0.75,2,3,0.5277649999999999,0.48077249999999994,0.7956000000000001,0.952225,0.25478030810877045,0.2944737459010565,1,4.721066782623275,0.7207735545989732,5,39.32106678262328,6.003216302690576
Random,36,5,8,50,222,-79.70286048459923,0.75,2,4,0.43248749999999997,0.5372225,0.82755,0.9139,0.2480497848215152,0.275380700394926,2,12.684300943172202,2.344602762139039,3,34.784300943172205,6.429630488571572
Random,37,5,8,50,222,-86.58189652243696,0.875,1,5,0.533395,0.602065,0.82055,0.96065,0.230686200497559,0.25245210429406206,2,26.537554073006515,4.475135594098907,2,38.837554073006515,6.549334582294522
Random,38,5,8,50,222,-117.34885881582706,0.5,4,3,0.4378475,0.49325374999999994,0.9048499999999999,0.841675,0.3265482860925777,0.23895418191831255,2,10.216984413859318,1.749483632510157,5,50.71698441385932,8.684415139359471
Random,39,5,8,50,222,-39.50662159158337,0.875,1,4,0.6180749999999999,0.55643625,0.81395,0.8670375,0.2217256615730349,0.23253524593059005,3,24.14835522944546,3.6533063887209476,2,40.14835522944546,6.0738812752564995
Random,40,5,8,50,222,-58.947979917044854,0.625,3,3,0.358715,0.26821249999999996,0.6348,0.60565,0.15483109797453481,0.18557106017641867,0,14.118444270797443,2.172068349353453,6,51.618444270797454,7.941299118584225
Random,41,5,8,50,222,-55.1528517860944,0.625,3,3,0.3224775,0.33861875,0.58805,0.51715625,0.19621876381987527,0.1173343936682676,0,9.929373865059357,1.5067335151835142,5,52.42937386505935,7.955898917307944
Random,42,5,8,50,222,-61.35675447269718,0.625,3,3,0.33311250000000003,0.38428000000000007,0.7074125,0.6117125,0.2294303055940954,0.1979364962241678,0,12.470994813161614,1.8669153911918583,5,45.67099481316161,6.836975271431379
Random,43,5,8,50,222,-67.12355437885476,0.75,2,4,0.56825,0.42691375000000004,0.90275,0.6793750000000001,0.26362139518635436,0.1981693892071881,1,11.691025735507264,2.0474651025406767,4,45.29102573550726,7.931878412523163
