#{"t_start": 1779524107.8075707, "env_id": "None"}
r,l,t
-38.278428,8,0.10274
-35.913825,8,0.124913
-92.245298,8,0.142478
-56.213802,8,0.160686
1.211471,8,0.172346
-129.974412,8,0.186846
-197.933658,8,0.197847
-71.872434,8,0.209194
-33.425006,8,0.225163
-84.358027,8,0.234567
-119.807408,8,0.252714
-31.278483,8,0.269465
-103.769596,8,0.283983
-122.939454,8,0.306124
-23.243253,8,0.318238
-41.91775,8,0.333306
-46.28398,8,0.351722
-136.784535,8,0.368387
-41.871975,8,0.38507
-195.435137,8,0.390814
-89.892018,8,0.414648
-133.397769,8,0.430827
-124.658412,8,0.445161
-51.016688,8,0.465183
-102.450492,8,0.485818
-1.226717,8,0.508853
-34.420308,8,0.539147
-83.793212,8,0.558243
-42.473651,8,0.576857
-137.565092,8,0.607316
-86.84271,8,0.633648
-86.217222,8,0.654885
-114.67278,8,0.673929
-75.352747,8,0.704356
-166.742225,8,0.744934
-189.483953,8,0.748953
-172.303455,8,0.78096
-73.767291,8,0.78297
-59.95548,8,0.819459
-15.802748,8,0.828005
-56.833392,8,0.846132
-142.16354,8,0.859758
-168.079524,8,0.868612
-51.424985,8,0.88393
-17.067785,8,0.900507
-97.487211,8,0.917029
-112.907286,8,0.933729
-28.706605,8,0.950664
-35.507393,8,0.967194
-49.934633,8,0.982636
-48.054205,8,0.999244
-82.748691,8,1.024441
-60.424989,8,1.040331
-35.418668,8,1.059051
-44.740492,8,1.074837
-50.888223,8,1.093688
-345.233203,8,1.111153
-93.862734,8,1.127362
-38.702949,8,1.152469
-125.780918,8,1.162495
-25.878584,8,1.182745
-123.032376,8,1.184289
-7.461585,8,1.215203
-124.075268,8,1.234063
-49.924767,8,1.234063
-130.118223,8,1.267311
-97.664976,8,1.283921
-67.116295,8,1.283921
-81.649705,8,1.300422
-184.754541,8,1.317104
-123.491154,8,1.332709
-104.73216,8,1.349245
-165.074228,8,1.365417
-117.103056,8,1.381221
-181.927846,8,1.391256
-44.201102,8,1.407052
-25.798736,8,1.428747
-93.333226,8,1.440789
-33.646316,8,1.456692
-31.281012,8,1.470315
-40.17733,8,1.487188
-24.619152,8,1.50056
-25.405129,8,1.50056
-82.78585,8,1.527401
-106.301738,8,1.533915
-45.992879,8,1.550394
-29.238417,8,1.566879
-41.325595,8,1.566879
-106.235609,8,1.599071
-143.3424,8,1.613354
-40.042731,8,1.61775
-108.996489,8,1.633784
-168.631867,8,1.650617
-54.89652,8,1.66727
-190.592291,8,1.685119
-48.384406,8,1.705608
-29.625995,8,1.721913
-18.864444,8,1.73359
-78.20008,8,1.748823
-41.280483,8,1.750017
-69.110553,8,1.767534
-60.680703,8,1.78906
-67.793187,8,1.801248
-47.519794,8,1.818906
-94.014818,8,1.835331
-43.108156,8,1.853606
-165.18916,8,1.868066
-35.385564,8,1.884727
-21.159472,8,1.901369
-83.189369,8,1.901369
-71.980858,8,1.930501
-58.257462,8,1.947596
-166.196799,8,1.958767
-125.816158,8,1.977967
-34.837377,8,1.995786
-15.008128,8,2.013363
-46.580468,8,2.033594
-133.884316,8,2.044592
-180.921036,8,2.060827
-64.643039,8,2.074136
-125.971783,8,2.091646
-175.101102,8,2.107989
-110.441575,8,2.123598
-58.869865,8,2.146696
-125.084965,8,2.160275
-49.460669,8,2.182623
-69.767568,8,2.204665
-34.634203,8,2.216183
-22.623112,8,2.233701
-96.661872,8,2.253295
-270.241275,8,2.271894
-139.504238,8,2.287864
-50.048216,8,2.302196
-50.15651,8,2.32194
-99.480414,8,2.334939
-50.353572,8,2.352329
-47.938461,8,2.374947
-32.204023,8,2.388585
-127.672688,8,2.412774
-27.673236,8,2.424216
-140.629454,8,2.451185
-132.861369,8,2.465198
-34.582564,8,2.486558
-39.108489,8,2.505644
-85.970887,8,2.519028
-167.023818,8,2.536674
-95.017667,8,2.55355
-146.489851,8,2.564551
-28.927849,8,2.588811
-44.615389,8,2.609878
-146.418311,8,2.63052
-118.362661,8,2.661521
-109.422724,8,2.680009
-29.125573,8,2.706594
-167.410621,8,2.729652
-91.954438,8,2.752296
-210.85861,8,2.775167
-59.850109,8,2.791671
-19.636679,8,2.812672
-72.519175,8,2.836977
-96.594838,8,2.857311
-84.346643,8,2.876193
-7.343184,8,2.890679
-188.164241,8,2.919004
-60.349355,8,2.939862
-53.424521,8,2.967307
-118.659219,8,2.993015
-28.419238,8,3.009447
-96.848908,8,3.029613
-149.202446,8,3.046622
-142.190082,8,3.077104
-62.431331,8,3.096678
-165.361822,8,3.112439
-125.862539,8,3.136678
-36.550753,8,3.152373
-78.031157,8,3.177518
-90.257869,8,3.205508
-184.971653,8,3.222029
-101.756959,8,3.245289
-122.488292,8,3.262723
-96.870062,8,3.290699
-200.06246,8,3.310417
-236.755188,8,3.325144
-103.248972,8,3.344712
-100.296668,8,3.360378
-118.611608,8,3.380599
-35.951794,8,3.410352
-263.317823,8,3.431148
-135.787927,8,3.461351
-110.244175,8,3.479062
-44.187783,8,3.500377
-37.493722,8,3.539855
-9.429254,8,3.559693
-39.920777,8,3.583795
-65.432033,8,3.604358
-22.425185,8,3.638001
-42.965239,8,3.668032
-12.912837,8,3.702311
-120.6415,8,3.770376
-7.713371,8,3.787636
-116.309948,8,3.813243
-50.18489,8,3.843801
-133.525813,8,3.860598
-30.28624,8,3.892176
-66.999792,8,3.912016
-101.967604,8,3.933618
-88.093504,8,3.956664
-75.438028,8,3.97648
-65.0243,8,4.000069
-84.118221,8,4.013873
-148.83291,8,4.036875
-31.301466,8,4.064355
-9.873245,8,4.076404
-78.468767,8,4.103366
-123.396653,8,4.121938
-48.32836,8,4.143503
-196.028471,8,4.16311
-94.351892,8,4.174744
-150.834361,8,4.200639
-130.98292,8,4.216694
-61.591042,8,4.236237
-127.200879,8,4.254283
-150.822338,8,4.267551
-125.185244,8,4.284237
-70.431751,8,4.296041
-19.205925,8,4.317562
-123.275315,8,4.345573
-20.663287,8,4.359353
-133.322296,8,4.375647
-182.342159,8,4.393272
-142.624311,8,4.413065
-50.901145,8,4.436275
-80.800217,8,4.449385
-199.045395,8,4.4711
-49.342042,8,4.48423
-224.607985,8,4.504322
-93.69992,8,4.522768
-126.767359,8,4.547443
-125.35551,8,4.57721
-38.902009,8,4.593312
-94.187674,8,4.612538
-164.045696,8,4.63343
-261.537119,8,4.654134
-194.360481,8,4.675974
-200.48119,8,4.695791
