episode,reward,rolling_reward,length,time
1,-38.278428,-38.278428,8,0.10274
2,-35.913825,-37.0961265,8,0.124913
3,-92.245298,-55.479183666666664,8,0.142478
4,-56.213802,-55.66283824999999,8,0.160686
5,1.211471,-44.2879764,8,0.172346
6,-129.974412,-58.569049,8,0.186846
7,-197.933658,-78.47827885714285,8,0.197847
8,-71.872434,-77.65254825,8,0.209194
9,-33.425006,-72.7383768888889,8,0.225163
10,-84.358027,-73.9003419,8,0.234567
11,-119.807408,-78.07371154545454,8,0.252714
12,-31.278483,-74.17410916666667,8,0.269465
13,-103.769596,-76.45068507692308,8,0.283983
14,-122.939454,-79.77131142857142,8,0.306124
15,-23.243253,-76.0027742,8,0.318238
16,-41.91775,-73.87246018750001,8,0.333306
17,-46.28398,-72.24960841176471,8,0.351722
18,-136.784535,-75.83488211111111,8,0.368387
19,-41.871975,-74.04736068421053,8,0.38507
20,-195.435137,-80.1167495,8,0.390814
21,-89.892018,-80.58223847619048,8,0.414648
22,-133.397769,-82.9829444090909,8,0.430827
23,-124.658412,-84.79492126086957,8,0.445161
24,-51.016688,-83.387494875,8,0.465183
25,-102.450492,-84.15001475999999,8,0.485818
26,-1.226717,-80.96065715384614,8,0.508853
27,-34.420308,-79.23694051851852,8,0.539147
28,-83.793212,-79.3996645,8,0.558243
29,-42.473651,-78.12635368965518,8,0.576857
30,-137.565092,-80.10764496666665,8,0.607316
31,-86.84271,-80.32490512903225,8,0.633648
32,-86.217222,-80.50904003125,8,0.654885
33,-114.67278,-81.54430487878787,8,0.673929
34,-75.352747,-81.36220023529411,8,0.704356
35,-166.742225,-83.80162951428571,8,0.744934
36,-189.483953,-86.7372496111111,8,0.748953
37,-172.303455,-89.04984975675674,8,0.78096
38,-73.767291,-88.64767715789473,8,0.78297
39,-59.95548,-87.9119797948718,8,0.819459
40,-15.802748,-86.109249,8,0.828005
41,-56.833392,-85.39520370731708,8,0.846132
42,-142.16354,-86.74683076190476,8,0.859758
43,-168.079524,-88.63828874418604,8,0.868612
44,-51.424985,-87.79253184090909,8,0.88393
45,-17.067785,-86.2208708,8,0.900507
46,-97.487211,-86.46579123913044,8,0.917029
47,-112.907286,-87.02837623404255,8,0.933729
48,-28.706605,-85.81333933333333,8,0.950664
49,-35.507393,-84.78668736734694,8,0.967194
50,-49.934633,-84.08964628,8,0.982636
51,-48.054205,-83.383069,8,0.999244
52,-82.748691,-83.37086942307693,8,1.024441
53,-60.424989,-82.93792828301886,8,1.040331
54,-35.418668,-82.05794198148149,8,1.059051
55,-44.740492,-81.37944289090909,8,1.074837
56,-50.888223,-80.83495682142858,8,1.093688
57,-345.233203,-85.47352254385964,8,1.111153
58,-93.862734,-85.61816412068966,8,1.127362
59,-38.702949,-84.82299098305086,8,1.152469
60,-125.780918,-85.50562310000002,8,1.162495
61,-25.878584,-84.52813065573773,8,1.182745
