#{"t_start": 1779523575.4009054, "env_id": "None"}
r,l,t
-187.049036,8,0.085665
-187.58257,8,0.08725
-164.506123,8,0.089211
-176.140981,8,0.090204
-286.326105,8,0.094203
-47.510471,8,0.098501
-59.34822,8,0.099499
-202.782406,8,0.101499
-267.943067,8,0.104499
-55.633441,8,0.106197
-51.190921,8,0.10829
-86.532053,8,0.109308
-100.19819,8,0.112623
-30.135205,8,0.115618
-17.055989,8,0.120902
-130.541896,8,0.120902
-82.735846,8,0.125745
-142.736445,8,0.12802
-107.416475,8,0.1295
-24.693006,8,0.133548
-95.469939,8,0.136807
-90.0346,8,0.137899
-277.132276,8,0.139906
-101.444154,8,0.140905
-26.553311,8,0.144892
-46.805411,8,0.14603
-58.470913,8,0.14603
-87.92181,8,0.14603
-201.092024,8,0.155967
-41.868741,8,0.16143
-25.194098,8,0.16143
-192.711365,8,0.21286
-20.96624,8,0.215777
-72.967109,8,0.215777
-90.475849,8,0.215777
-177.37877,8,0.215777
-137.138183,8,0.225969
-186.243238,8,0.225969
-113.606707,8,0.230043
-52.126292,8,0.233178
-115.709342,8,0.237861
-117.208283,8,0.237861
-137.742821,8,0.237861
-107.873092,8,0.237861
-125.866651,8,0.245772
-81.057239,8,0.249526
-65.187325,8,0.251531
-67.871054,8,0.251531
-145.277365,8,0.255608
-50.383075,8,0.255608
-67.989758,8,0.255608
-171.713924,8,0.264606
-192.561467,8,0.269239
-86.339856,8,0.271137
-52.015363,8,0.272234
-69.530892,8,0.27422
-200.99087,8,0.277842
-58.027341,8,0.279867
-15.619008,8,0.279867
-171.296787,8,0.285648
-247.586849,8,0.289034
-174.761093,8,0.291038
-32.228779,8,0.292034
-175.262015,8,0.301639
-42.722825,8,0.308373
-32.971244,8,0.312296
-53.120694,8,0.31262
-84.988861,8,0.317713
-183.059022,8,0.321817
-139.776187,8,0.324344
-141.981595,8,0.327269
-46.527582,8,0.330482
-144.969732,8,0.335484
-69.008735,8,0.338038
-144.620473,8,0.341046
-60.101195,8,0.34406
-110.399771,8,0.353006
-103.860117,8,0.354005
-62.667626,8,0.356519
-66.02646,8,0.358523
-86.241303,8,0.362849
-45.863021,8,0.364865
-188.615048,8,0.367155
-160.446595,8,0.368156
-36.68667,8,0.372239
-116.326781,8,0.374254
-46.165484,8,0.375852
-126.722781,8,0.376858
-18.810022,8,0.389698
-121.080828,8,0.389698
-98.314929,8,0.389698
-96.514236,8,0.396635
-82.934035,8,0.396635
2.651142,8,0.405645
-200.044845,8,0.409909
-84.835887,8,0.409909
-53.231726,8,0.417646
-55.448658,8,0.419652
-67.872736,8,0.421658
-113.13783,8,0.421658
-79.717278,8,0.425799
-58.1677,8,0.430151
-53.433295,8,0.435814
-110.128283,8,0.435814
-223.210703,8,0.435814
-96.970979,8,0.435814
-92.473241,8,0.435814
-78.239655,8,0.446398
-120.03847,8,0.446398
-155.365026,8,0.453513
-200.670511,8,0.455626
-105.791608,8,0.455626
-162.186133,8,0.462991
-39.265514,8,0.47087
-149.282648,8,0.47087
-88.379405,8,0.478325
-1.501694,8,0.485785
-24.950476,8,0.485785
-34.256408,8,0.490956
-91.645924,8,0.496398
-65.523342,8,0.502424
-112.321398,8,0.505437
-105.301937,8,0.507575
-96.299973,8,0.512457
-98.96249,8,0.52095
-44.925409,8,0.809519
-35.369225,8,0.825974
-128.447037,8,0.843704
-57.381507,8,0.857148
-23.999223,8,0.87068
-164.27013,8,0.879462
-148.088341,8,0.887928
-42.923911,8,0.900394
-127.429443,8,0.907486
-117.656943,8,0.915445
-120.322276,8,0.921521
-54.421593,8,0.931649
-59.102553,8,0.935755
-132.553949,8,0.950742
-27.401339,8,0.955699
-59.832972,8,0.977955
-54.335441,8,0.987827
-37.137831,8,0.996264
-201.268405,8,1.006391
-56.68616,8,1.01958
-128.772519,8,1.027819
-57.011618,8,1.037714
-231.857309,8,1.057646
-45.755763,8,1.070879
-99.57475,8,1.08425
-185.373103,8,1.093831
-34.285163,8,1.108707
-227.933496,8,1.123602
-50.376626,8,1.133563
-40.021807,8,1.142618
-46.289362,8,1.148829
-137.797312,8,1.167582
-93.405831,8,1.175671
-57.243868,8,1.185609
-156.118632,8,1.195195
-162.308054,8,1.212448
-3.823051,8,1.222581
-101.65476,8,1.231691
-94.968987,8,1.244064
-41.410123,8,1.257956
-96.265768,8,1.268217
-29.913743,8,1.277728
-106.628189,8,1.290594
-150.216568,8,1.30581
-82.937637,8,1.319744
-62.818405,8,1.329138
-113.94947,8,1.339102
-115.531487,8,1.352098
-21.262365,8,1.36241
-33.591219,8,1.371174
-126.860684,8,1.379135
-268.614339,8,1.399178
-321.529306,8,1.406682
-150.156112,8,1.415786
-89.757075,8,1.423142
-63.999398,8,1.437947
-121.100285,8,1.443946
-102.651296,8,1.455701
-148.430517,8,1.466181
-115.384024,8,1.479796
-108.356887,8,1.490806
-224.620128,8,1.502263
-86.748977,8,1.510783
-218.454334,8,1.529538
-134.889651,8,1.545578
-118.448046,8,1.554628
-23.056169,8,1.563723
-66.081104,8,1.575736
-170.273354,8,1.587706
-23.648952,8,1.598146
-9.543805,8,1.607661
-70.348891,8,1.619691
-100.414397,8,1.625851
-84.227147,8,1.636111
-121.93216,8,1.644125
-74.395672,8,1.655554
-297.552662,8,1.671342
-88.113022,8,1.678884
-79.267619,8,1.685547
-63.879897,8,1.70219
-148.528642,8,1.710699
-77.187221,8,1.720305
-59.202723,8,1.726823
-52.191467,8,1.739982
-75.041102,8,1.74818
-82.614525,8,1.755721
-199.397751,8,1.769361
-71.480751,8,1.783128
-24.549844,8,1.79722
-37.389767,8,1.806739
-150.144975,8,1.815713
-124.189837,8,1.824447
-61.549025,8,1.834531
-76.838983,8,1.855825
-23.436491,8,1.869395
-100.107266,8,1.885533
-120.813062,8,1.891619
-133.300037,8,1.901124
-39.369676,8,1.907638
-27.056452,8,1.919545
-73.817551,8,1.927851
-75.970045,8,1.939992
-69.285757,8,1.949553
-66.891502,8,1.959721
-83.256962,8,1.968442
-172.804604,8,1.97599
-15.903488,8,1.985521
-88.004783,8,2.00114
-49.126012,8,2.009658
-158.770783,8,2.018916
-102.994355,8,2.024679
-10.263899,8,2.040007
-154.792418,8,2.052621
-67.53048,8,2.067416
-83.842651,8,2.075923
-41.654717,8,2.089615
-176.808937,8,2.101232
-145.542997,8,2.112734
-49.707567,8,2.129447
-42.532389,8,2.141968
-70.265791,8,2.150812
-71.307747,8,2.160471
-23.008869,8,2.171495
-218.303464,8,2.18565
-81.824028,8,2.196031
-141.35035,8,2.206275
-54.59117,8,2.220846
-147.972502,8,2.237018
-63.05546,8,2.245535
-32.205876,8,2.255598
-54.957348,8,2.264839
-63.744636,8,2.276913
-144.501122,8,2.285811
-87.973938,8,2.294878
-44.208578,8,2.304092
-9.94958,8,2.320061
-43.960357,8,2.329417
-36.350883,8,2.339962
-67.098604,8,2.355839
-82.28553,8,2.370452
-103.478214,8,2.379365
-87.377173,8,2.389703
-78.53558,8,2.402298
-49.418437,8,2.415794
-119.563079,8,2.426087
-92.138742,8,2.439061
-104.530566,8,2.44898
-51.78791,8,2.461637
-100.448477,8,2.475793
-77.442622,8,2.485854
-144.944161,8,2.498162
-94.095728,8,2.519873
-23.862837,8,2.532525
-52.199802,8,2.544043
-94.329547,8,2.548252
-10.432345,8,2.569369
-86.569589,8,2.583833
-59.363422,8,2.590884
-27.372945,8,2.605881
-62.149042,8,2.617769
-134.478008,8,2.626917
-72.049071,8,2.636935
-85.707762,8,2.645797
-159.738629,8,2.663853
-78.292508,8,2.672367
-82.59496,8,2.681356
-65.657186,8,2.690008
-113.383797,8,2.705692
-137.902303,8,2.715743
-63.923113,8,2.72388
-100.353537,8,2.732399
-31.048458,8,2.743913
-43.820102,8,2.752344
-161.629234,8,2.761492
-139.943636,8,2.769363
-61.366501,8,2.779365
-118.816574,8,2.79373
-187.23609,8,2.804194
-129.55832,8,2.817834
