episode,reward,rolling_reward,length,time
1,-187.049036,-187.049036,8,0.085665
2,-187.58257,-187.31580300000002,8,0.08725
3,-164.506123,-179.71257633333335,8,0.089211
4,-176.140981,-178.8196775,8,0.090204
5,-286.326105,-200.320963,8,0.094203
6,-47.510471,-174.85254766666665,8,0.098501
7,-59.34822,-158.35192942857142,8,0.099499
8,-202.782406,-163.905739,8,0.101499
9,-267.943067,-175.46544211111112,8,0.104499
10,-55.633441,-163.48224199999999,8,0.106197
11,-51.190921,-153.27394009090906,8,0.10829
12,-86.532053,-147.71211616666665,8,0.109308
13,-100.19819,-144.05719876923075,8,0.112623
14,-30.135205,-135.91991349999998,8,0.115618
15,-17.055989,-127.99565186666665,8,0.120902
16,-130.541896,-128.154792125,8,0.120902
17,-82.735846,-125.48308941176471,8,0.125745
18,-142.736445,-126.44160916666667,8,0.12802
19,-107.416475,-125.44028631578948,8,0.1295
20,-24.693006,-120.4029223,8,0.133548
21,-95.469939,-119.21563738095239,8,0.136807
22,-90.0346,-117.88922659090909,8,0.137899
23,-277.132276,-124.81283743478261,8,0.139906
24,-101.444154,-123.83914229166665,8,0.140905
25,-26.553311,-119.94770903999999,8,0.144892
26,-46.805411,-117.13454373076921,8,0.14603
27,-58.470913,-114.96181666666665,8,0.14603
28,-87.92181,-113.99610214285713,8,0.14603
29,-201.092024,-116.99940979310344,8,0.155967
30,-41.868741,-114.49505416666665,8,0.16143
31,-25.194098,-111.6143781612903,8,0.16143
32,-192.711365,-114.14865899999998,8,0.21286
33,-20.96624,-111.32494933333332,8,0.215777
34,-72.967109,-110.19677755882353,8,0.215777
35,-90.475849,-109.63332245714285,8,0.215777
36,-177.37877,-111.51514044444443,8,0.215777
37,-137.138183,-112.20765510810809,8,0.225969
38,-186.243238,-114.15595992105261,8,0.225969
39,-113.606707,-114.14187651282049,8,0.230043
40,-52.126292,-112.59148689999998,8,0.233178
41,-115.709342,-112.66753214634144,8,0.237861
42,-117.208283,-112.77564526190474,8,0.237861
43,-137.742821,-113.35627725581392,8,0.237861
44,-107.873092,-113.23165940909088,8,0.237861
45,-125.866651,-113.51243699999998,8,0.245772
46,-81.057239,-112.80688921739127,8,0.249526
47,-65.187325,-111.79370699999997,8,0.251531
48,-67.871054,-110.87865172916663,8,0.251531
49,-145.277365,-111.58066628571426,8,0.255608
50,-50.383075,-110.35671445999996,8,0.255608
51,-67.989758,-109.52598982352937,8,0.255608
52,-171.713924,-110.72191163461534,8,0.264606
53,-192.561467,-112.26605418867919,8,0.269239
54,-86.339856,-111.78593940740735,8,0.271137
55,-52.015363,-110.6992016545454,8,0.272234
56,-69.530892,-109.9640532678571,8,0.27422
57,-200.99087,-111.56101496491222,8,0.277842
58,-58.027341,-110.63802058620684,8,0.279867
59,-15.619008,-109.02752884745756,8,0.279867
60,-171.296787,-110.06534981666661,8,0.285648
61,-247.586849,-112.31980062295077,8,0.289034
62,-174.761093,-113.32691824193543,8,0.291038
63,-32.228779,-112.03964619047615,8,0.292034
64,-175.262015,-113.02749570312496,8,0.301639
65,-42.722825,-111.94588538461534,8,0.308373
66,-32.971244,-110.74929990909087,8,0.312296
67,-53.120694,-109.88917146268653,8,0.31262
68,-84.988861,-109.52299042647054,8,0.317713
69,-183.059022,-110.58873001449273,8,0.321817
70,-139.776187,-111.00569368571426,8,0.324344
71,-141.981595,-111.44197398591547,8,0.327269
72,-46.527582,-110.5403852083333,8,0.330482
73,-144.969732,-111.01202009589038,8,0.335484
74,-69.008735,-110.4444081351351,8,0.338038
75,-144.620473,-110.90008899999998,8,0.341046
76,-60.101195,-110.23168249999998,8,0.34406
77,-110.399771,-110.23386546753244,8,0.353006
78,-103.860117,-110.15215074358973,8,0.354005
79,-62.667626,-109.55108081012656,8,0.356519
80,-66.02646,-109.00702304999997,8,0.358523
81,-86.241303,-108.72596477777776,8,0.362849
82,-45.863021,-107.95934351219509,8,0.364865
83,-188.615048,-108.93109898795178,8,0.367155
84,-160.446595,-109.54437870238091,8,0.368156
85,-36.68667,-108.68722918823525,8,0.372239
86,-116.326781,-108.77606118604646,8,0.374254
87,-46.165484,-108.05639937931029,8,0.375852
88,-126.722781,-108.26851735227268,8,0.376858
89,-18.810022,-107.26336571910107,8,0.389698
90,-121.080828,-107.41689307777773,8,0.389698
91,-98.314929,-107.31687149450545,8,0.389698
92,-96.514236,-107.19945154347822,8,0.396635
93,-82.934035,-106.93853308602147,8,0.396635
94,2.651142,-105.77268547872336,8,0.405645
95,-200.044845,-106.76502399999995,8,0.409909
