#{"t_start": 1779522850.6272454, "env_id": "None"}
r,l,t
-38.278428,8,4.481257
-50.019015,8,4.48818
-122.599874,8,4.49738
-161.344657,8,4.504122
-59.445944,8,4.508071
-58.320031,8,4.521528
-76.5113,8,4.534559
-72.05953,8,4.540051
-48.73973,8,4.548863
-110.061895,8,4.554878
-145.679559,8,4.560885
-41.51969,8,4.565885
-103.280837,8,4.571884
-67.811406,8,4.592185
-142.447302,8,4.597334
-48.265738,8,4.603176
-62.891817,8,4.611633
-67.999039,8,4.617105
-117.779942,8,4.622505
-23.858497,8,4.629093
-75.194619,8,4.634544
-127.143029,8,4.642505
-81.483227,8,4.648405
-79.826855,8,4.653851
-29.13242,8,4.661474
-73.672537,8,4.665834
-33.307105,8,4.691617
-222.266096,8,4.696373
-148.9464,8,4.704808
-63.401923,8,4.713732
-36.486358,8,4.718741
-96.979508,8,4.725025
-114.284512,8,5.54551
-41.152099,8,5.55351
-223.379349,8,5.563625
-85.04332,8,5.570625
-43.860779,8,5.576729
-74.936441,8,5.583739
-97.388125,8,5.59473
-19.624579,8,5.601725
-79.423115,8,5.618549
-172.160901,8,5.624566
-237.550675,8,5.630584
-59.475196,8,5.638348
-163.461238,8,5.644365
-93.991068,8,5.650123
-77.410886,8,5.65733
-148.220171,8,5.665329
-18.601177,8,5.674961
-61.769355,8,5.680977
-56.614961,8,5.680977
-118.223464,8,5.69869
-69.930898,8,5.704697
-61.190422,8,5.712576
-133.471816,8,5.712576
-131.610592,8,5.712576
-61.284452,8,5.728544
-64.632108,8,5.739752
-191.361225,8,5.74577
-96.769596,8,5.747776
-66.9511,8,5.765082
-83.478649,8,5.770082
-44.668499,8,5.775082
-63.350664,8,5.775082
-102.533036,8,6.053
-179.371796,8,6.060755
-165.349049,8,6.066763
-50.731408,8,6.07277
-15.742064,8,6.076519
-23.792408,8,6.076519
-74.072022,8,6.092298
-73.336535,8,6.092298
-54.786115,8,6.108338
-174.32639,8,6.108338
-77.515918,8,6.124005
-40.999545,8,6.124005
-79.757622,8,6.150848
-63.326713,8,6.157553
-20.052974,8,6.167668
-107.730083,8,6.171202
-208.59481,8,6.171202
-43.913748,8,6.189837
-23.36502,8,6.203061
-85.277814,8,6.203061
-26.024266,8,6.219033
-18.253893,8,6.223787
-71.08618,8,6.223787
-55.385593,8,6.243286
-156.709536,8,6.250772
-211.514322,8,6.250772
-183.208308,8,6.250772
-89.593603,8,6.266871
-76.025927,8,6.266871
-62.010458,8,6.282539
-160.247078,8,6.282539
-62.9546,8,6.282539
-53.235652,8,6.449952
-26.3907,8,6.457446
-115.961791,8,6.471076
-101.454686,8,6.475279
-14.590439,8,6.485177
-58.193727,8,6.488924
-111.628577,8,6.504867
-115.05577,8,6.504867
-48.253897,8,6.504867
-149.139808,8,6.520898
-105.010224,8,6.532616
-59.567573,8,6.539047
-119.70648,8,6.539047
-46.59634,8,6.539047
-58.986669,8,6.557814
-56.058196,8,6.563563
-123.325169,8,6.56961
-154.702892,8,6.580025
-189.508699,8,6.584273
-161.466388,8,6.597871
-34.420855,8,6.599873
-111.742776,8,6.612281
-125.175454,8,6.621774
-10.266632,8,6.635761
-99.313207,8,6.645255
-57.231229,8,6.647615
-46.822753,8,6.647615
-77.043219,8,6.66914
-105.802043,8,6.675921
-28.219773,8,6.679702
-89.500724,8,6.688256
-133.212128,8,6.695717
-114.46241,8,6.906241
-122.746459,8,6.914525
-67.793448,8,6.920534
-60.809086,8,6.926283
-226.008785,8,6.934291
-119.417146,8,6.941179
-73.000351,8,6.947188
-123.249594,8,6.953197
-129.385857,8,6.958741
-21.50606,8,6.965708
-125.701282,8,8.46803
-158.640739,8,8.483712
-128.130866,8,8.483712
-70.975871,8,8.499922
-99.794742,8,8.499922
-39.474056,8,8.515823
-211.275894,8,8.515823
-55.502391,8,8.515823
-58.951481,8,8.531688
-157.07019,8,8.531688
-55.282272,8,8.531688
-133.518841,8,8.54777
-49.015277,8,8.54777
-120.738573,8,8.563914
-29.048295,8,8.563914
-57.797346,8,8.574151
-56.446993,8,8.579728
-168.227853,8,8.579728
-127.630035,8,8.595658
-114.886038,8,8.595658
-140.650144,8,8.611364
-58.823036,8,8.611364
-109.81999,8,8.80103
-23.944746,8,8.80103
-118.165892,8,8.81891
-12.261745,8,8.822919
-99.855312,8,8.836574
-116.375173,8,8.844597
-48.568858,8,8.850471
-50.455956,8,8.857225
-55.375976,8,8.870419
-223.874056,8,8.883968
-149.916584,8,8.896161
-59.947492,8,8.901161
-76.667945,8,8.907778
-77.756263,8,8.914778
-57.654305,8,8.921777
-117.041257,8,8.92368
-151.315771,8,8.940567
-136.907202,8,8.948592
-30.939484,8,8.954345
-155.009744,8,8.960998
-39.947284,8,8.970277
-74.709003,8,8.972578
-174.5467,8,8.985959
-66.544527,8,8.98902
-54.356298,8,8.98902
-23.073034,8,9.001706
-44.798894,8,9.001706
-43.166176,8,9.017467
-223.204344,8,9.035471
-65.465587,8,9.049166
-27.484877,8,9.049166
-137.253884,8,9.076996
-59.333179,8,9.413198
-206.654868,8,9.429047
-60.929683,8,9.431054
-28.725751,8,9.444976
-82.209588,8,9.444976
-55.312031,8,9.444976
-13.199074,8,9.460913
-105.63135,8,9.460913
-32.021165,8,9.460913
-51.832845,8,9.476623
-81.727548,8,9.476623
-212.799807,8,9.498359
-56.205337,8,9.504106
-142.791996,8,9.510149
-70.060125,8,9.518164
-138.869345,8,9.523964
-105.180633,8,9.523964
-94.343026,8,9.523964
-25.258026,8,9.539785
-49.938321,8,9.548556
-63.759316,8,9.55404
-57.735801,8,9.555781
-24.938317,8,9.57382
-33.444489,8,9.579832
-73.25363,8,9.585841
-88.950896,8,9.587584
-189.38199,8,9.587584
-78.399249,8,9.603288
-97.990751,8,9.616262
-49.13274,8,9.619393
-102.147383,8,9.619393
-124.533034,8,9.619393
-59.771285,8,9.801631
-104.891085,8,9.809404
-22.200548,8,9.82001
-162.74681,8,9.825527
-238.587901,8,9.841389
-83.145848,8,9.851899
-25.066722,8,9.85724
-54.312343,8,9.872333
-245.50017,8,9.881176
-101.693656,8,9.88492
-103.579047,8,9.892346
-71.610846,8,9.89835
-70.345205,8,9.903356
-77.396912,8,9.910035
-153.499171,8,9.922064
-105.051088,8,9.92307
-51.692553,8,9.92307
-177.977268,8,9.939099
-74.355443,8,9.939099
-75.077788,8,9.955174
-53.03154,8,9.959794
-3.202703,8,9.971231
-62.101191,8,9.978265
-110.706396,8,9.978265
-33.208597,8,9.994256
-126.052719,8,10.001342
-186.451578,8,10.008222
-161.887628,8,10.01914
-56.782476,8,10.024622
-75.379537,8,10.024622
-91.592727,8,10.024622
-180.75709,8,10.040111
-219.983247,8,10.219853
-187.113016,8,10.225861
-125.22571,8,10.229606
-67.766446,8,10.229606
-56.588866,8,10.245547
-5.102785,8,10.251556
-133.181044,8,10.25556
-58.83681,8,10.266659
-115.156476,8,10.274022
-106.068148,8,10.279924
-28.483935,8,10.289958
-99.159093,8,10.293151
-36.523797,8,10.293151
-63.870516,8,10.308828
-57.029001,8,10.308828
-36.499845,8,10.32488
-60.295936,8,10.32488
-117.946064,8,10.32488
-75.536886,8,10.340704
-173.514945,8,10.340704
-23.786011,8,10.35844
-21.101006,8,10.35844
-27.037973,8,10.372086
-36.064597,8,10.372086
-70.406184,8,10.389968
-84.518215,8,10.407277
-98.837191,8,10.42028
-43.970431,8,10.430291
-139.232687,8,10.443284
-17.730712,8,10.452282
-49.620767,8,10.454284
-158.747735,8,10.470138
-41.777161,8,10.678774
-113.834121,8,10.684772
-57.041111,8,10.69206
-107.791897,8,10.69206
-9.873847,8,10.69206
-83.897515,8,10.709487
-167.528482,8,10.709487
-2.23904,8,10.725238
-110.177244,8,10.725238
-52.821953,8,10.744084
-238.621009,8,10.761868
-53.943789,8,10.769881
-87.05182,8,10.777881
-149.181758,8,10.791649
-156.291643,8,10.797197
-33.721125,8,10.802945
-27.916945,8,10.809702
-114.606604,8,10.817724
-32.18871,8,10.825485
-61.799416,8,10.82949
-24.117574,8,10.835497
