episode,reward,rolling_reward,length,time
1,-38.278428,-38.278428,8,4.481257
2,-50.019015,-44.1487215,8,4.48818
3,-122.599874,-70.29910566666666,8,4.49738
4,-161.344657,-93.0604935,8,4.504122
5,-59.445944,-86.3375836,8,4.508071
6,-58.320031,-81.66799150000001,8,4.521528
7,-76.5113,-80.93132128571429,8,4.534559
8,-72.05953,-79.822347375,8,4.540051
9,-48.73973,-76.36872322222223,8,4.548863
10,-110.061895,-79.73804040000002,8,4.554878
11,-145.679559,-85.73272390909092,8,4.560885
12,-41.51969,-82.04830441666668,8,4.565885
13,-103.280837,-83.68157615384615,8,4.571884
14,-67.811406,-82.54799257142858,8,4.592185
15,-142.447302,-86.54127986666667,8,4.597334
16,-48.265738,-84.14905850000001,8,4.603176
17,-62.891817,-82.89863252941177,8,4.611633
18,-67.999039,-82.07087733333334,8,4.617105
19,-117.779942,-83.95030178947368,8,4.622505
20,-23.858497,-80.94571155,8,4.629093
21,-75.194619,-80.67185,8,4.634544
22,-127.143029,-82.78417631818182,8,4.642505
23,-81.483227,-82.72761330434783,8,4.648405
24,-79.826855,-82.60674837500001,8,4.653851
25,-29.13242,-80.46777524,8,4.661474
26,-73.672537,-80.20641992307694,8,4.665834
27,-33.307105,-78.46940825925925,8,4.691617
28,-222.266096,-83.60500425,8,4.696373
29,-148.9464,-85.8581558275862,8,4.704808
30,-63.401923,-85.10961473333332,8,4.713732
31,-36.486358,-83.54112258064515,8,4.718741
32,-96.979508,-83.96107212499999,8,4.725025
33,-114.284512,-84.87996424242424,8,5.54551
34,-41.152099,-83.59385055882352,8,5.55351
35,-223.379349,-87.58772194285713,8,5.563625
36,-85.04332,-87.51704411111109,8,5.570625
37,-43.860779,-86.33714505405403,8,5.576729
38,-74.936441,-86.03712652631577,8,5.583739
39,-97.388125,-86.32817776923075,8,5.59473
40,-19.624579,-84.66058779999997,8,5.601725
41,-79.423115,-84.53284456097559,8,5.618549
42,-172.160901,-86.61922685714283,8,5.624566
43,-237.550675,-90.1292605348837,8,5.630584
44,-59.475196,-89.43257724999998,8,5.638348
45,-163.461238,-91.07765859999998,8,5.644365
46,-93.991068,-91.1409935869565,8,5.650123
47,-77.410886,-90.84886363829784,8,5.65733
48,-148.220171,-92.04409920833331,8,5.665329
49,-18.601177,-90.54526406122446,8,5.674961
50,-61.769355,-89.96974587999998,8,5.680977
51,-56.614961,-89.31573049019606,8,5.680977
52,-118.223464,-89.87164844230766,8,5.69869
53,-69.930898,-89.4954078679245,8,5.704697
54,-61.190422,-88.97124146296292,8,5.712576
55,-133.471816,-89.78034281818178,8,5.712576
56,-131.610592,-90.5273115535714,8,5.712576
57,-61.284452,-90.01427892982453,8,5.728544
58,-64.632108,-89.57665529310341,8,5.739752
59,-191.361225,-91.30181749152538,8,5.74577
60,-96.769596,-91.3929471333333,8,5.747776
61,-66.9511,-90.99226111475406,8,5.765082
62,-83.478649,-90.8710738225806,8,5.770082
63,-44.668499,-90.13769961904758,8,5.775082
64,-63.350664,-89.71915218749996,8,5.775082
65,-102.533036,-89.91628886153842,8,6.053
66,-179.371796,-91.27167533333329,8,6.060755
67,-165.349049,-92.37730777611937,8,6.066763
68,-50.731408,-91.76486807352937,8,6.07277
69,-15.742064,-90.6630883043478,8,6.076519
70,-23.792408,-89.70779287142854,8,6.076519
71,-74.072022,-89.48757074647885,8,6.092298
72,-73.336535,-89.26325080555553,8,6.092298
73,-54.786115,-88.79096127397258,8,6.108338
74,-174.32639,-89.94684544594593,8,6.108338
75,-77.515918,-89.78109974666664,8,6.124005
76,-40.999545,-89.1392371842105,8,6.124005
77,-79.757622,-89.017398025974,8,6.150848
78,-63.326713,-88.68803026923075,8,6.157553
79,-20.052974,-87.81923208860758,8,6.167668
80,-107.730083,-88.068117725,8,6.171202
81,-208.59481,-89.5561015802469,8,6.171202
82,-43.913748,-88.9994875121951,8,6.189837
83,-23.36502,-88.2087107951807,8,6.203061
84,-85.277814,-88.17381916666666,8,6.203061
85,-26.024266,-87.44264795294117,8,6.219033
86,-18.253893,-86.63812754651163,8,6.223787
87,-71.08618,-86.45936952873562,8,6.223787
88,-55.385593,-86.10625843181818,8,6.243286
89,-156.709536,-86.89955368539326,8,6.250772
90,-211.514322,-88.28416222222222,8,6.250772
91,-183.208308,-89.3272847032967,8,6.250772
92,-89.593603,-89.3301794673913,8,6.266871
93,-76.025927,-89.18712298924733,8,6.266871
94,-62.010458,-88.89800953191491,8,6.282539
95,-160.247078,-89.64905235789476,8,6.282539
96,-62.9546,-89.37098514583334,8,6.282539
97,-53.235652,-88.99845593814433,8,6.449952
98,-26.3907,-88.35960128571429,8,6.457446
99,-115.961791,-88.63841128282829,8,6.471076
100,-101.454686,-88.76657402999999,8,6.475279
101,-14.590439,-88.52969413999999,8,6.485177
102,-58.193727,-88.61144125999999,8,6.488924
103,-111.628577,-88.50172828999999,8,6.504867
104,-115.05577,-88.03883942,8,6.504867
105,-48.253897,-87.92691895000002,8,6.504867
106,-149.139808,-88.83511672000003,8,6.520898
107,-105.010224,-89.12010596000002,8,6.532616
108,-59.567573,-88.99518639000001,8,6.539047
109,-119.70648,-89.70485389000004,8,6.539047
110,-46.59634,-89.07019834000002,8,6.539047
111,-58.986669,-88.20326944000003,8,6.557814
112,-56.058196,-88.34865450000002,8,6.563563
113,-123.325169,-88.54909782000003,8,6.56961
114,-154.702892,-89.41801268,8,6.580025
115,-189.508699,-89.88862665,8,6.584273
116,-161.466388,-91.02063315000001,8,6.597871
117,-34.420855,-90.73592353000002,8,6.599873
118,-111.742776,-91.1733609,8,6.612281
119,-125.175454,-91.24731602000001,8,6.621774
120,-10.266632,-91.11139737000003,8,6.635761
121,-99.313207,-91.35258325000002,8,6.645255
122,-57.231229,-90.65346525000002,8,6.647615
123,-46.822753,-90.30686051000002,8,6.647615
124,-77.043219,-90.27902415000003,8,6.66914
125,-105.802043,-91.04572038000002,8,6.675921
126,-28.219773,-90.59119274000003,8,6.679702
127,-89.500724,-91.15312893000002,8,6.688256
128,-133.212128,-90.26258925000002,8,6.695717
129,-114.46241,-89.91774935000001,8,6.906241
130,-122.746459,-90.51119471000001,8,6.914525
131,-67.793448,-90.82426561000003,8,6.920534
132,-60.809086,-90.46256139,8,6.926283
133,-226.008785,-91.57980412,8,6.934291
134,-119.417146,-92.36245459,8,6.941179
135,-73.000351,-90.85866460999999,8,6.947188
136,-123.249594,-91.24072735,8,6.953197
137,-129.385857,-92.09597812999999,8,6.958741
138,-21.50606,-91.56167431999998,8,6.965708
139,-125.701282,-91.84480588999999,8,8.46803
140,-158.640739,-93.23496749,8,8.483712
141,-128.130866,-93.722045,8,8.483712
142,-70.975871,-92.71019470000002,8,8.499922
143,-99.794742,-91.33263537,8,8.499922
144,-39.474056,-91.13262397,8,8.515823
145,-211.275894,-91.61077053000001,8,8.515823
146,-55.502391,-91.22588376000002,8,8.515823
147,-58.951481,-91.04128971000002,8,8.531688
148,-157.07019,-91.12978990000002,8,8.531688
149,-55.282272,-91.49660085000001,8,8.531688
150,-133.518841,-92.21409571,8,8.54777
151,-49.015277,-92.13809887000001,8,8.54777
152,-120.738573,-92.16324996000002,8,8.563914
153,-29.048295,-91.75442393000002,8,8.563914
154,-57.797346,-91.72049317000001,8,8.574151
155,-56.446993,-90.95024494,8,8.579728
156,-168.227853,-91.31641755000001,8,8.579728
157,-127.630035,-91.97987338000002,8,8.595658
158,-114.886038,-92.48241268000001,8,8.595658
159,-140.650144,-91.97530187000001,8,8.611364
160,-58.823036,-91.59583627,8,8.611364
161,-109.81999,-92.02452517,8,8.80103
162,-23.944746,-91.42918613999998,8,8.80103
163,-118.165892,-92.16416007,8,8.81891
164,-12.261745,-91.65327088,8,8.822919
165,-99.855312,-91.62649363999999,8,8.836574
166,-116.375173,-90.99652741,8,8.844597
167,-48.568858,-89.8287255,8,8.850471
168,-50.455956,-89.82597098000001,8,8.857225
169,-55.375976,-90.2223101,8,8.870419
170,-223.874056,-92.22312658000001,8,8.883968
171,-149.916584,-92.98157220000002,8,8.896161
172,-59.947492,-92.84768177,8,8.901161
173,-76.667945,-93.06650006999999,8,8.907778
174,-77.756263,-92.10079879999998,8,8.914778
175,-57.654305,-91.90218266999999,8,8.921777
176,-117.041257,-92.66259978999999,8,8.92368
177,-151.315771,-93.37818127999999,8,8.940567
178,-136.907202,-94.11398616999999,8,8.948592
179,-30.939484,-94.22285126999999,8,8.954345
180,-155.009744,-94.69564788,8,8.960998
181,-39.947284,-93.00917261999999,8,8.970277
182,-74.709003,-93.31712516999998,8,8.972578
183,-174.5467,-94.82894197,8,8.985959
184,-66.544527,-94.64160910000001,8,8.98902
185,-54.356298,-94.92492942000001,8,8.98902
186,-23.073034,-94.97312083000001,8,9.001706
187,-44.798894,-94.71024797,8,9.001706
188,-43.166176,-94.5880538,8,9.017467
189,-223.204344,-95.25300188,8,9.035471
190,-65.465587,-93.79251453,8,9.049166
191,-27.484877,-92.23528022000002,8,9.049166
192,-137.253884,-92.71188303000002,8,9.076996
193,-59.333179,-92.54495555000001,8,9.413198
194,-206.654868,-93.99139965,8,9.429047
195,-60.929683,-92.9982257,8,9.431054
196,-28.725751,-92.65593721,8,9.444976
197,-82.209588,-92.94567657000002,8,9.444976
198,-55.312031,-93.23488988000001,8,9.444976
199,-13.199074,-92.20726271000001,8,9.460913
200,-105.63135,-92.24902935000001,8,9.460913
201,-32.021165,-92.42333661000002,8,9.460913
202,-51.832845,-92.35972779000004,8,9.476623
203,-81.727548,-92.06071750000005,8,9.476623
204,-212.799807,-93.03815787000003,8,9.498359
205,-56.205337,-93.11767227000001,8,9.504106
206,-142.791996,-93.05419415000001,8,9.510149
207,-70.060125,-92.70469316000002,8,9.518164
208,-138.869345,-93.49771088000001,8,9.523964
209,-105.180633,-93.35245241000001,8,9.523964
210,-94.343026,-93.82991927,8,9.523964
211,-25.258026,-93.49263284,8,9.539785
212,-49.938321,-93.43143409,8,9.548556
213,-63.759316,-92.83577556,8,9.55404
214,-57.735801,-91.86610465000001,8,9.555781
215,-24.938317,-90.22040083000002,8,9.57382
216,-33.444489,-88.94018184000001,8,9.579832
217,-73.25363,-89.32850959,8,9.585841
218,-88.950896,-89.10059079000001,8,9.587584
219,-189.38199,-89.74265615,8,9.587584
220,-78.399249,-90.42398232,8,9.603288
221,-97.990751,-90.41075776,8,9.616262
222,-49.13274,-90.32977286999999,8,9.619393
223,-102.147383,-90.88301916999997,8,9.619393
224,-124.533034,-91.35791731999998,8,9.619393
225,-59.771285,-90.89760974,8,9.801631
226,-104.891085,-91.66432285999997,8,9.809404
227,-22.200548,-90.9913211,8,9.82001
228,-162.74681,-91.28666792,8,9.825527
229,-238.587901,-92.52792283000001,8,9.841389
230,-83.145848,-92.13191672,8,9.851899
231,-25.066722,-91.70464946,8,9.85724
232,-54.312343,-91.63968203,8,9.872333
233,-245.50017,-91.83459588,8,9.881176
234,-101.693656,-91.65736097999999,8,9.88492
235,-103.579047,-91.96314793999998,8,9.892346
236,-71.610846,-91.44676045999996,8,9.89835
237,-70.345205,-90.85635393999998,8,9.903356
238,-77.396912,-91.41526245999998,8,9.910035
239,-153.499171,-91.69324134999997,8,9.922064
240,-105.051088,-91.15734483999996,8,9.92307
241,-51.692553,-90.39296170999998,8,9.92307
242,-177.977268,-91.46297567999999,8,9.939099
243,-74.355443,-91.20858268999999,8,9.939099
244,-75.077788,-91.56462001,8,9.955174
245,-53.03154,-89.98217647,8,9.959794
246,-3.202703,-89.45917959,8,9.971231
247,-62.101191,-89.49067669,8,9.978265
248,-110.706396,-89.02703874999999,8,9.978265
249,-33.208597,-88.806302,8,9.994256
250,-126.052719,-88.73164077999999,8,10.001342
251,-186.451578,-90.10600378999999,8,10.008222
252,-161.887628,-90.51749434,8,10.01914
253,-56.782476,-90.79483615,8,10.024622
254,-75.379537,-90.97065806,8,10.024622
255,-91.592727,-91.3221154,8,10.024622
256,-180.75709,-91.44740776999998,8,10.040111
257,-219.983247,-92.37093988999999,8,10.219853
258,-187.113016,-93.09320966999998,8,10.225861
259,-125.22571,-92.93896532999999,8,10.229606
260,-67.766446,-93.02839943,8,10.229606
261,-56.588866,-92.49608819,8,10.245547
262,-5.102785,-92.30766857999998,8,10.251556
263,-133.181044,-92.45782009999999,8,10.25556
264,-58.83681,-92.92357075,8,10.266659
265,-115.156476,-93.07658239,8,10.274022
266,-106.068148,-92.97351214,8,10.279924
267,-28.483935,-92.77266291,8,10.289958
268,-99.159093,-93.25969428,8,10.293151
269,-36.523797,-93.07117249000001,8,10.293151
270,-63.870516,-91.47113709000001,8,10.308828
271,-57.029001,-90.54226126000002,8,10.308828
272,-36.499845,-90.30778479000003,8,10.32488
273,-60.295936,-90.14406470000003,8,10.32488
274,-117.946064,-90.54596271000004,8,10.32488
275,-75.536886,-90.72478852000003,8,10.340704
276,-173.514945,-91.28952540000004,8,10.340704
277,-23.786011,-90.01422780000004,8,10.35844
278,-21.101006,-88.85616584000005,8,10.35844
279,-27.037973,-88.81715073000005,8,10.372086
280,-36.064597,-87.62769926000004,8,10.372086
281,-70.406184,-87.93228826000004,8,10.389968
