agent,episode,num_nodes,num_services,episodes,seed,reward,placed_rate,failed_count,used_nodes,avg_cpu_util,avg_mem_util,max_cpu_util,max_mem_util,cpu_imbalance,mem_imbalance,hotspot_count,total_latency_cost,avg_latency_cost,failed_dependency_edges,effective_latency_cost,avg_effective_latency_cost
Random,0,5,5,50,999,-53.27915948117642,0.6,2,2,0.38448000000000004,0.41313875,0.86575,0.75195,0.2839914357863631,0.2671207072186655,1,0.8496407983644454,0.2646856069671169,4,25.049640798364447,7.8036264169359635
Random,1,5,5,50,999,-64.9933170519673,0.8,1,4,0.4565825,0.41708625,0.9358,0.65305,0.27958826128791603,0.17526056362599088,1,17.494819390982983,5.625343855621537,1,25.994819390982983,8.358462826682631
Random,2,5,5,50,999,-35.88791848126641,0.6,2,3,0.23118,0.29650499999999996,0.5675,0.498125,0.1783835210999043,0.17075055684389434,0,2.8098074367058468,0.6658311461388261,5,36.40980743670585,8.627916454195697
Random,3,5,5,50,999,-42.53405679330592,0.6,2,2,0.24069749999999995,0.33980625000000003,0.525575,0.7655749999999999,0.16909809586450109,0.25730348654361446,0,11.1491302203302,2.7460911872734477,4,29.949130220330197,7.376633059194629
Random,4,5,5,50,999,-127.94258324098575,1.0,0,3,0.49728249999999996,0.5086875,0.8979249999999999,0.9963500000000001,0.221112865353873,0.35544587263745236,2,14.261811138627099,4.40179356130466,0,14.261811138627099,4.40179356130466
Random,5,5,5,50,999,-138.61694158222252,0.6,2,2,0.443075,0.37681749999999997,0.9961499999999999,0.69555,0.3017495981770315,0.2166368524743655,1,0.8603957451791852,0.2508442405770219,3,27.160395745179184,7.918482724542035
Random,6,5,5,50,999,-98.91532691990997,0.8,1,3,0.3313325,0.4349075,0.5208625,0.97835,0.14690775753853164,0.29369643124321415,1,12.461880408041768,3.2118248474334457,2,31.261880408041765,8.057185672175713
Random,7,5,5,50,999,-45.72521300785651,1.0,0,4,0.404775,0.52081,0.6666,0.939775,0.19988387753893508,0.23170984757342533,1,12.677359298659454,4.116025746318004,0,12.677359298659454,4.116025746318004
Random,8,5,5,50,999,-109.34109271996128,0.8,1,3,0.43481500000000006,0.37244875000000005,0.94615,0.9107000000000001,0.2968024475977245,0.29109672437825546,2,13.825869994983037,3.1139346835547386,3,35.52586999498304,8.001322070942127
Random,9,5,5,50,999,-94.81658006009032,1.0,0,4,0.4854075,0.46919625,0.9595,0.9007499999999999,0.30718899308894515,0.26120981693362905,1,26.70367007103609,7.316073992064682,0,26.70367007103609,7.316073992064682
Random,10,5,5,50,999,-22.806194796455536,0.8,1,2,0.41942749999999995,0.35435875,0.6356499999999999,0.75795,0.12762412693139175,0.3158828865161106,0,2.173379323210216,0.593819487215906,3,18.673379323210217,5.102016208527381
Random,11,5,5,50,999,-70.33981959307012,0.8,1,3,0.3924975,0.39883375,0.815525,0.93465,0.24391960002222046,0.3212944842158047,2,8.764381284151213,2.0194426922007405,1,17.564381284151214,4.0470924617859945
Random,12,5,5,50,999,-1.8836608864542728,1.0,0,3,0.32765750000000005,0.43084625,0.7245250000000001,0.7225625,0.23098799449322038,0.23061550622735671,0,8.601239014328879,2.5522964434210325,0,8.601239014328879,2.5522964434210325
Random,13,5,5,50,999,-112.1955778371862,0.8,1,3,0.39312,0.52045375,0.77625,0.9856375,0.2486645136524309,0.33640341945163105,1,6.930895056735285,1.728402757290595,3,28.830895056735283,7.189749390707053
Random,14,5,5,50,999,-19.819895631652873,0.8,1,4,0.4194699999999999,0.49289875,0.639175,0.7807999999999999,0.1640075481494678,0.2659171109810348,0,7.410359375757378,1.8207271193507073,2,25.610359375757376,6.292471591095179
Random,15,5,5,50,999,-104.7545187194829,1.0,0,2,0.32086,0.4123212499999999,0.750625,0.992575,0.24656485079994675,0.3519161484732549,1,7.817926105970868,2.4977399699587437,0,7.817926105970868,2.4977399699587437
Random,16,5,5,50,999,-29.391560881603425,1.0,0,3,0.422435,0.45488124999999996,0.804325,0.8952875,0.2859244032956963,0.25286554894597646,1,19.15127824308329,4.898025126108258,0,19.15127824308329,4.898025126108258
Random,17,5,5,50,999,-35.1354920834928,0.6,2,3,0.2281825,0.34799125000000003,0.33238749999999995,0.6164625,0.09027870374567856,0.21729390478393543,0,1.6251394939319634,0.45778577293858125,3,28.82513949393196,8.119757603924496
Random,18,5,5,50,999,-40.4552896589632,0.6,2,3,0.3029675,0.3251925,0.64215,0.74655,0.20913108891315035,0.23754527957844165,0,18.595956945335292,4.6723509912902745,3,36.395956945335286,9.1447128003355
Random,19,5,5,50,999,-115.46451679555943,0.8,1,3,0.3344725,0.46179625,0.6632,0.991,0.2092914580196717,0.3160389530876692,1,16.725040461415233,5.377826514924513,1,24.225040461415233,7.7894020776254775
Random,20,5,5,50,999,-121.78258379514797,1.0,0,3,0.52334,0.6035200000000001,0.9084,0.9462375000000001,0.2796252226641938,0.2786496508386472,2,17.065982146964704,4.961041321792065,0,17.065982146964704,4.961041321792065
Random,21,5,5,50,999,-19.19906886931972,0.8,1,3,0.4824275,0.4472825,0.6829000000000001,0.7974125000000001,0.15956581016934673,0.2224922462974834,0,11.464154673598106,2.486801447635164,4,34.86415467359811,7.562723356528873
Random,22,5,5,50,999,-66.31317245910465,1.0,0,3,0.48788,0.5284375,0.897025,0.8849250000000001,0.331518535454656,0.25805420336626955,2,22.446112984899663,6.864254735443322,0,22.446112984899663,6.864254735443322
Random,23,5,5,50,999,-24.08490092662229,1.0,0,4,0.505785,0.5099775,0.8801,0.766725,0.27353275608233835,0.19054027172752744,1,30.45715497956007,7.931550775927102,0,30.45715497956007,7.931550775927102
Random,24,5,5,50,999,-95.09189908931964,0.8,1,2,0.35053750000000006,0.32929125000000004,0.9634750000000001,0.6560250000000001,0.3196105061242512,0.21931623057528143,1,10.939112665711272,2.762402188310927,2,27.739112665711275,7.00482643073517
Random,25,5,5,50,999,-58.77307152436962,0.6,2,2,0.32513500000000006,0.24034125000000003,0.8872500000000001,0.4892,0.2845221764643312,0.14735400569292306,1,6.813307549288962,2.027770103955048,3,30.513307549288964,9.081341532526476
Random,26,5,5,50,999,-122.57824183244189,0.6,2,2,0.2864325,0.40451375,0.406225,0.9796875,0.08167314873935008,0.3704178945039643,1,0.6657197926950212,0.18858917640085587,4,32.56571979269502,9.225416371868278
Random,27,5,5,50,999,-18.988861416900722,0.8,1,2,0.3022975,0.33134125000000003,0.669375,0.464025,0.21202019278832857,0.14950915291797356,0,3.9834000978383886,1.0427748947220914,2,20.083400097838386,5.257434580585965
Random,28,5,5,50,999,-35.573045352901865,0.6,2,2,0.2889125,0.29799125,0.5221,0.531175,0.15268199058828125,0.14100161566006963,0,0.0,0.0,3,24.5,7.492354740061162
Random,29,5,5,50,999,-54.664269833798166,0.4,3,2,0.2281825,0.239365,0.36053749999999996,0.5273,0.09028151305776835,0.14671070479007317,0,0.0,0.0,6,39.2,10.000000000000002
Random,30,5,5,50,999,-119.69127828951609,0.4,3,2,0.2996175,0.35814625,0.5136,0.953425,0.1363047664243624,0.32004021704310853,1,8.203996530957083,2.31098493829777,4,35.20399653095708,9.91661874111467
Random,31,5,5,50,999,-21.871762955077237,0.8,1,4,0.41737,0.41074874999999994,0.7523500000000001,0.7998375,0.2739210723000332,0.22970453706881802,0,9.304477969436668,2.455007379798593,2,23.20447796943667,6.122553553941074
Random,32,5,5,50,999,-114.8743025954901,0.6,2,3,0.41554,0.24276124999999998,0.9747,0.389975,0.31538497372259194,0.09356714220280536,1,7.287773078611194,1.8686597637464597,5,36.58777307861119,9.381480276566972
Random,33,5,5,50,999,-127.21074852740112,0.8,1,4,0.532915,0.51083875,0.9917,0.810775,0.32835477292099774,0.2339264878653121,2,20.644583442256657,4.8347970590765,2,32.94458344225666,7.71535911996643
Random,34,5,5,50,999,-20.992689887109023,0.8,1,2,0.389915,0.38120875,0.631875,0.55059375,0.17578068693687596,0.14323398468502507,0,14.304450440606686,5.019105417756732,2,28.00445044060669,9.826122961616381
Random,35,5,5,50,999,-180.69675314469373,0.4,3,2,0.4231825000000001,0.38444874999999995,0.88195,0.99945,0.2822599663430859,0.35156919390071706,1,6.562315615353408,1.3962373649688102,6,44.062315615353405,9.374960769224128
Random,36,5,5,50,999,-34.325180435353474,0.8,1,3,0.512285,0.373905,0.714,0.868525,0.17729179027806108,0.30063447621239314,1,16.80135638080632,4.603111337207212,2,25.90135638080632,7.096262022138718
Random,37,5,5,50,999,-46.68720404275079,1.0,0,3,0.5268275,0.5360625,0.7988,0.9160625,0.24806310694055253,0.3544759049463024,1,17.64536614672415,4.860982409565882,0,17.64536614672415,4.860982409565882
Random,38,5,5,50,999,-21.989269451595536,0.8,1,3,0.3924875,0.42599875000000004,0.75405,0.7299125,0.2671592235914755,0.2445164864840406,0,6.878593871844138,1.6535081422702254,3,28.778593871844137,6.917931219193302
Random,39,5,5,50,999,-32.42328292631792,0.8,1,2,0.29173499999999997,0.34196125000000005,0.79395,0.8408375,0.2694167290648449,0.29512640703815374,1,6.262737242275712,1.95710538821116,2,22.662737242275714,7.08210538821116
Random,40,5,5,50,999,-38.02620824515503,0.6,2,2,0.2649375,0.24157625,0.5659125,0.49308125,0.16322408906163333,0.12854904489629632,0,7.528373287231206,2.0912148020086687,4,35.72837328723121,9.924548135342002
Random,41,5,5,50,999,-39.58826220408135,0.6,2,2,0.3362975,0.26788500000000004,0.8102750000000001,0.4935875,0.2620481005941467,0.12380580191372294,1,1.5859795061263742,0.505089014689928,4,24.885979506126375,7.925471180295022
Random,42,5,5,50,999,-34.320467678228844,0.6,2,3,0.296845,0.2534975,0.4627,0.4577375,0.1323113207552551,0.11137477508394798,0,7.665392399904016,1.9654852307446196,4,35.86539239990402,9.19625446151385
Random,43,5,5,50,999,-38.204622707407026,0.6,2,2,0.2897475,0.20489375,0.491625,0.3449625,0.1701781721461363,0.11790416473772246,0,1.8796794146682951,0.5178180205697783,4,28.579679414668295,7.873189921396226
Random,44,5,5,50,999,-104.07029510805332,0.8,1,4,0.4043075,0.4095762499999999,0.86845,0.9679249999999999,0.27274219026399277,0.3036866445861589,1,7.416977129927217,2.310584775678261,3,24.51697712992722,7.63768757941658
Random,45,5,5,50,999,-162.17919719175438,0.6,2,3,0.509935,0.38455500000000004,0.9718,0.9371750000000001,0.29379613493032886,0.2853517424381706,2,6.355084595921196,1.770218550395876,4,33.055084595921194,9.207544455688355
Random,46,5,5,50,999,-18.45085660612946,0.8,1,3,0.39084750000000007,0.42418249999999996,0.6159,0.685725,0.1386236777213763,0.2219197067071782,0,8.013476931784712,2.1369271818092566,2,24.013476931784712,6.403593848475922
Random,47,5,5,50,999,-117.90915125048923,0.8,1,3,0.3327575,0.39853625,0.52405,0.99515,0.16522468482342462,0.30637974609746965,1,19.446741973009345,5.1446407336003555,1,26.746741973009346,7.075857664817287
Random,48,5,5,50,999,-65.50686202904876,1.0,0,4,0.487475,0.43345874999999995,0.9589749999999999,0.69165,0.3333250898147333,0.2067709108832768,1,25.245031588573458,6.557151061967132,0,25.245031588573458,6.557151061967132
Random,49,5,5,50,999,-25.355956252093925,0.8,1,3,0.44698000000000004,0.4242675,0.7596750000000001,0.8237,0.21204319925430293,0.3087073925661645,1,14.560514439060924,3.8828038504162463,1,23.360514439060925,6.229470517082913
First-Fit,0,5,5,50,999,-106.61014494209643,1.0,0,3,0.47773000000000004,0.47263875000000005,0.9297500000000001,0.94945,0.3188366205441276,0.25830004060201,2,9.368400876363967,2.918504945907778,0,9.368400876363967,2.918504945907778
First-Fit,1,5,5,50,999,-6.957689676247528,1.0,0,3,0.4023325,0.46158625000000003,0.7393,0.7357750000000001,0.28125940579827724,0.2340126562549556,0,19.052763366125713,6.126290471423058,0,19.052763366125713,6.126290471423058
First-Fit,2,5,5,50,999,-162.77832950261364,1.0,0,3,0.36568,0.455755,0.89775,0.95065,0.2849279042143819,0.405524464628831,2,26.092580380140575,6.18307591946459,0,26.092580380140575,6.18307591946459
First-Fit,3,5,5,50,999,-89.30198985190971,1.0,0,3,0.44569749999999997,0.46630624999999987,0.72115,0.971825,0.24235777483918272,0.3464654967489548,1,22.72336915616791,5.596888954721159,0,22.72336915616791,5.596888954721159
First-Fit,4,5,5,50,999,-7.84442514706238,1.0,0,3,0.5267824999999999,0.48793749999999997,0.7575500000000001,0.78885,0.2050379397209209,0.3182295745605679,0,26.255242209296686,8.103469817684163,0,26.255242209296686,8.103469817684163
First-Fit,5,5,5,50,999,-171.44579375954612,1.0,0,3,0.524825,0.4741924999999999,0.9961499999999999,0.9601000000000001,0.33866415148344237,0.2696176034683196,2,20.069183140458453,5.85107380188293,0,20.069183140458453,5.85107380188293
First-Fit,6,5,5,50,999,-9.272585848301754,1.0,0,3,0.4303325,0.44765749999999993,0.67195,0.8435999999999999,0.20798137951509027,0.3016815000542791,1,17.525879343838536,4.516979212329519,0,17.525879343838536,4.516979212329519
First-Fit,7,5,5,50,999,-46.22940302217232,1.0,0,3,0.426775,0.58956,0.81745,0.900175,0.27045122388334647,0.2571371904499619,2,20.59765337200616,6.687549796105896,0,20.59765337200616,6.687549796105896
First-Fit,8,5,5,50,999,-194.38138610462943,1.0,0,3,0.408065,0.44594875,0.9327749999999999,0.9628125000000001,0.2751605811158277,0.4017795249807412,2,24.048662371629845,5.416365399015731,0,24.048662371629845,5.416365399015731
First-Fit,9,5,5,50,999,-80.34990489135264,1.0,0,3,0.4279075,0.45294624999999994,0.82165,0.9638875,0.26606848737684063,0.3490413026598715,1,25.05068892619006,6.863202445531523,0,25.05068892619006,6.863202445531523
First-Fit,10,5,5,50,999,-70.8200464163825,1.0,0,3,0.5079274999999999,0.47435875000000005,0.84125,0.9267,0.2525179702021224,0.35101174017937065,2,17.963651907001253,4.908101613934768,0,17.963651907001253,4.908101613934768
First-Fit,11,5,5,50,999,-134.13923895539898,1.0,0,3,0.44099750000000004,0.4368337500000001,0.977275,0.93465,0.2991231373113755,0.29538616561629966,2,22.21560909975714,5.118803940036207,0,22.21560909975714,5.118803940036207
First-Fit,12,5,5,50,999,-82.54009066206955,1.0,0,3,0.37715750000000003,0.50172125,0.6218,0.9400624999999999,0.21630623222644327,0.3720052769619001,2,21.586151948140397,6.405386334759761,0,21.586151948140397,6.405386334759761
First-Fit,13,5,5,50,999,-94.68378536099134,1.0,0,3,0.40237,0.48845375,0.77625,0.9856375,0.26039586757473704,0.31767307388060134,1,24.664950524533932,6.150860479933649,0,24.664950524533932,6.150860479933649
First-Fit,14,5,5,50,999,-101.28360183361798,1.0,0,3,0.48972,0.52602375,0.922425,0.9432999999999999,0.2993704074386779,0.32666781278923085,2,25.004612194347544,6.143639359790552,0,25.004612194347544,6.143639359790552
First-Fit,15,5,5,50,999,-92.24774330127035,1.0,0,3,0.4636100000000001,0.46607125,0.972275,0.8596499999999999,0.3629642312267147,0.276546052776477,2,14.796661034900797,4.7273677427798075,0,14.796661034900797,4.7273677427798075
First-Fit,16,5,5,50,999,-30.909658496486102,1.0,0,3,0.47493500000000005,0.5245062500000001,0.7122499999999999,0.8702875,0.22369938399557562,0.3051529660985618,2,22.22712310840403,5.684686216983128,0,22.22712310840403,5.684686216983128
First-Fit,17,5,5,50,999,-66.59178183260607,1.0,0,3,0.4119325,0.52649125,0.8979999999999999,0.91855,0.26247374983034016,0.29785371167109875,2,12.925753098062838,3.6410572107219266,0,12.925753098062838,3.6410572107219266
First-Fit,18,5,5,50,999,-111.79314661704339,1.0,0,3,0.5044675,0.4175675,0.941225,0.946775,0.3111098437047597,0.34934396352305847,2,15.173261320489862,3.8123772162034832,0,15.173261320489862,3.8123772162034832
First-Fit,19,5,5,50,999,-46.94740193353094,1.0,0,3,0.4167225,0.46079625,0.8887999999999999,0.8734999999999999,0.3327830102333951,0.31626989047133464,1,14.55772795771657,4.680941465503721,0,14.55772795771657,4.680941465503721
First-Fit,20,5,5,50,999,-122.82491436912,1.0,0,3,0.50584,0.553395,0.9833999999999999,0.8387375,0.25622483320318507,0.1932023270110896,2,13.971962547516592,4.061617019626916,0,13.971962547516592,4.061617019626916
